UIPL_ID,DESCRIPTION,MFR_NAME,MFR_P/N,MFR_NAME_1,MFR_P/N,Vendor_NAME_1,Vendor_P/N,Mfr/Vendor_Remarks,ADDITIONAL_MFR_VEND_AND_P/N,NOUN,MODIFIER,ATTRIBUTE_NAME_1,STANDARDIZED_VALUE_1,ATTRIBUTE_NAME_2,STANDARDIZED_VALUE_2,ATTRIBUTE_NAME_3,STANDARDIZED_VALUE_3,ATTRIBUTE_NAME_4,STANDARDIZED_VALUE_4,ATTRIBUTE_NAME_5,STANDARDIZED_VALUE_5,ATTRIBUTE_NAME_6,STANDARDIZED_VALUE_6,ATTRIBUTE_NAME_7,STANDARDIZED_VALUE_7,ATTRIBUTE_NAME_8,STANDARDIZED_VALUE_8,ATTRIBUTE_NAME_9,STANDARDIZED_VALUE_9,ATTRIBUTE_NAME_10,STANDARDIZED_VALUE_10,ATTRIBUTE_NAME_11,STANDARDIZED_VALUE_11,ATTRIBUTE_NAME_12,STANDARDIZED_VALUE_12,ATTRIBUTE_NAME_13,STANDARDIZED_VALUE_13,ATTRIBUTE_NAME_14,STANDARDIZED_VALUE_14,ATTRIBUTE_NAME_15,STANDARDIZED_VALUE_15,ATTRIBUTE_NAME_16,STANDARDIZED_VALUE_16,ATTRIBUTE_NAME_17,STANDARDIZED_VALUE_17,ATTRIBUTE_NAME_18,STANDARDIZED_VALUE_18,ATTRIBUTE_NAME_19,STANDARDIZED_VALUE_19,ATTRIBUTE_NAME_20,STANDARDIZED_VALUE_20,UNUSED_TEXT,REPLACED_TEXT,STATUS (CLEANSED/HOLD/ENRICHED),COMMENTS
000000000001024985_1,VALVE  BALL SS 3/4 SCR 800LB RD HANDLE APOLLO 76-104-39A,APOLLO,76-104-39A,APOLLO,76-104-39A,-,-,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,3/4 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,-,END TO END DISTANCE,-,CONFIGURATION,-,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,-,-,-,-,-,-,-,-,-,-,-,RD,800 LB,ENRICHED,-
000000000001143420_1,VALVE  BALL SS 316 3/4 SCR 275LB 2000LB WOG GR CF8M W/LATCH LOCK LEVER|APOLLO 76-104-57-27,APOLLO,76-104-57-27,APOLLO,76-104-57-27,-,-,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,3/4 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LEVER HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,-,END TO END DISTANCE,-,CONFIGURATION,-,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,FEATURES:WITH LATCH LOCK FLOW MEDIUM:WATER OIL GAS,-,-,-,-,-,-,-,-,-,-,-,275 LB,ENRICHED,-
000000000027111337_1,VALVE  BALL SS 316 1IN 2000LB WOG W/LOCKING HANDLE APOLLO 76-105-01,APOLLO,76-105-01,APOLLO,76-105-01,MOTION INDUSTRIES,03386149,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LOCKING HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,STANDARD,END TO END DISTANCE,3.34 IN,CONFIGURATION,2-WAY,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,FLOW MEDIUM:WATER OIL GAS,-,-,-,-,-,-,-,-,-,-,-,-,ENRICHED,-
000000000001150198_1,VALVE  BALL SS 316 1IN APOLLO 76-105-14- 24-27-49 RPTFE SEAT AND SEALS VENTED BALL|GRAPH STEM PKG ASSEMBLED DRY W/LATCH LOCK|LEVER,APOLLO,76-105-14-24-27-49,APOLLO,76-105-14-24-27-49,-,-,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LEVER HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,-,END TO END DISTANCE,-,CONFIGURATION,-,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,-,-,-,-,-,-,-,-,-,-,-,GRAPH STEM PKG ASSEMBLED DRY,-,ENRICHED,-
000000000027111349_1,VALVE  BALL SS 316 1IN 2000LB WOG W/OVAL HANDLE APOLLO 76-105-15A,APOLLO,76-105-15A,APOLLO,76-105-15A,-,-,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,OVAL HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,-,END TO END DISTANCE,-,CONFIGURATION,-,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,FLOW MEDIUM:WATER OIL GAS,-,-,-,-,-,-,-,-,-,-,-,-,ENRICHED,-
000000000027111008_7,VALVE  BALL SS 316 1IN SCR 150LB V256 REINFORCED PTFE SEATS W/LOCKING DEVICE|*METSO PAPER 511495|REINFORCED PTFE SEATS W/LOCKING DEVICE|APOLLO 76-105-27 OR EQUAL METSO 213600MT3|*BELOIT 266124-021 METSO PAPER 640200050A|APOLLO 76-105-27 OR EQUAL METSO 213600MT3|*METSO PAPER 511495|*BELOIT 266,APOLLO,76-105-27,APOLLO,76-105-27,MOTION INDUSTRIES,00786766,-,METSO 213600MT3|BELOIT 266124-021|METSO PAPER 640200050A|METSO PAPER 511495,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,-,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,STANDARD,END TO END DISTANCE,3.34 IN,CONFIGURATION,2-WAY,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,FEATURES:WITH LOCKING DEVICE SEAT MATERIAL:REINFORCED PTFE,-,-,-,-,-,-,-,-,-,-,OR EQUAL,-,ENRICHED,-
000000000001150194_1,VALVE  BALL SS 316 1IN APOLLO 76-105-27- 57 RPTFE SEAT AND SEALS W/LATCH LOCK LEVER|CLEANED F/OXYGEN SERVICE,APOLLO,76-105-27-57,APOLLO,76-105-27-57,MOTION INDUSTRIES,00786766,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LEVER HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,STANDARD,END TO END DISTANCE,3.34 IN,CONFIGURATION,2-WAY,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,FEATURES:WITH LATCH LOCK SEAT MATERIAL:RPTFE,-,-,-,-,-,-,-,-,-,-,CLEANED F/OXYGEN SVC  AND,-,ENRICHED,-
000000000001401262_1,VALVE  BALL SS 316 1IN APOLLO 76-105-27A SCR 2000LB WOG SS 316 TRIM PTFE SEATS|W/LOCKING HANDLE,APOLLO,76-105-27A,APOLLO,76-105-27A,MOTION INDUSTRIES,00786766,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LOCKING HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,STANDARD,END TO END DISTANCE,3.34 IN,CONFIGURATION,2-WAY,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,FLOW MEDIUM:WATER OIL GAS SEAT MATERIAL:PTFE,-,-,-,-,-,-,-,-,-,-,-,-,ENRICHED,-
000000000001024817_1,VALVE  BALL SS 316 1IN SCR 150LB STEAM RD LATCH LOCK WHEEL HANDLE|APOLLO 76-105-39A,APOLLO,76-105-39A,APOLLO,76-105-39A,-,-,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LATCH LOCK WHEEL HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 2000 PSIG COLD NON-SHOCK,PORT TYPE,-,END TO END DISTANCE,-,CONFIGURATION,-,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,-,-,-,-,-,-,-,-,-,-,-,RD,-,ENRICHED,-
000000000034865464_1,VALVE  BALL SS 316 1-1/4 APOLLO 76-106 500LB THD LOCKING HANDLE,APOLLO,76-106,APOLLO,76-106,-,-,-,-,VALVE,BALL,TYPE,2-PIECE,NOMINAL SIZE,1-1/4 IN,END CONNECTION,FEMALE NPT THREAD,PRESSURE CLASS/RATING,-,BODY MATERIAL,A351-CF8M STAINLESS STEEL,TRIM MATERIAL,A276-316 STAINLESS STEEL GLAND NUT/RPTFE STEM BEARING/MPTFE STEM PACKING,ACTUATION TYPE,LOCKING HANDLE,DESIGN PRESSURE RANGE,150 PSIG SATURATED STEAM 1500 PSIG COLD NON-SHOCK,PORT TYPE,-,END TO END DISTANCE,-,CONFIGURATION,-,SOFTGOODS,PTFE,TEMPERATURE RATING,-,CERTIFICATION/STANDARD,MSS SP-110 COMPLIANT/NACE MR0175 (2000) & MR0103 (2012)/CSA/CAN 3.16-M88 (2009)/NSF/ANSI 61 (2010)/NSF-372,ADDITIONAL FEATURES,-,-,-,-,-,-,-,-,-,-,-,-,500 LB,ENRICHED,-
